Time,Jitter
0,0
1,0.689965278
2,1.34137717
3,1.951818875
4,2.523677417
5,2.983419801
6,3.488858841
7,3.965589886
8,4.41265024
9,4.831894322
10,5.224241205
11,5.592760852
12,5.936873021
13,6.260221235
14,6.56367963
15,6.848671875
16,7.115032661
17,7.365377842
18,7.600263949
19,7.81952523
20,8.013027125
21,8.18515043
22,8.346328528
23,8.498189939
24,8.639990568
25,8.137178658
26,8.298229992
27,8.452090617
28,8.589966898
29,8.725593967
30,8.853181844
31,8.971732979
32,9.084569112
33,9.189846043
34,9.288355665
35,9.380770936
36,9.468229697
37,9.549277841
38,9.625385476
39,9.724514161
40,9.886704248
41,10.0393269
42,10.18202869
43,9.71537412
44,9.875767404
45,10.02869166
46,10.17149566
47,10.30631884
48,10.43214614
49,10.55079673
50,10.66203165
51,10.76713384
52,10.8649102
53,10.95663803
54,11.04332732
55,11.12384159
56,24.6007751
57,23.35484471
58,22.18672247
59,21.09085787
60,20.06373481
61,19.10074444
62,18.19800347
63,17.37731575
64,16.57953907
65,15.83456094
66,15.13639393
67,14.48136237
68,13.86783278
69,13.29258628
70,12.7533552
71,12.24757605
72,11.7730331
73,11.32827409
74,10.91093752
75,10.50205948
76,33.54302798
77,32.42833873
78,30.48142867
79,29.17897827
80,27.96049352
81,26.81253906
82,25.74189426
83,24.73860226
84,23.792641
85,259.9557746
86,244.3106775
87,229.6463991
88,215.899138
89,203.0110808
90,190.9284646
91,179.601137
92,168.9818923
93,159.0260379
94,149.6925494
95,140.913779
96,132.7099317
97,125.0210748
98,117.7858132
99,110.9335055
100,104.5102864
101,98.48819902
102,92.84236714
103,87.55021919
104,82.58813605
105,77.93687755
106,73.57569076
107,69.48726564
108,65.65487404
109,62.06131246
110,58.69247349
111,55.5340689
112,52.57230765
113,49.79621897
114,47.19439279
115,44.7546113
116,42.46813559
117,39.90199517
118,37.91448853
119,36.05495799
120,34.31107868
121,32.67631681
122,31.14467201
123,29.70781057
124,242.4618849
125,228.0333227
126,214.5709761
127,201.9502137
128,190.1191309
129,179.0268588
130,168.6274163
131,158.8784389
132,149.7395295
