Time,Jitter
1,0
2,1.0061875
3,1.883578559
4,2.694827121
5,3.467310148
6,4.191575486
7,4.868636741
8,5.495937222
9,6.093350868
10,6.648863661
11,7.169094404
12,7.656060726
13,8.118466653
14,8.54503471
15,18.76800476
16,18.54355308
17,18.33527545
18,18.10977213
19,17.92404331
20,17.75511699
21,17.59674857
22,17.44264623
23,17.30380723
24,17.16795122
25,17.04628066
26,16.93152006
27,16.81987645
28,28.74474528
29,27.88146953
30,27.06040547
31,26.28983846
32,25.56755689
33,24.89104986
34,24.25619258
35,23.66101387
36,23.10366578
37,22.58052001
38,22.08269584
39,21.62399263
40,21.19332642
41,29.96778519
42,29.01632639
43,28.19603516
44,27.50108157
45,26.84886814
46,26.23817499
47,25.66489322
48,25.12819851
49,24.62498471
50,24.15258983
51,23.71041408
52,23.29511737
53,33.18099892
54,32.15365177
55,31.13779853
56,30.18600557
57,29.29382466
58,28.45734257
59,27.6732031
60,26.93157235
61,26.24209908
62,25.59641233
63,24.9910185
64,24.41496179
65,23.88347112
66,33.87944168
67,32.70421269
68,31.58103273
69,30.52868346
70,29.54147408
71,28.61590278
72,27.74105469
73,26.92870405
74,26.16649338
75,25.45185838
76,24.78258251
77,24.14519193
78,23.55688827
79,33.75686748
80,32.5538827
81,31.33577198
82,30.20298067
83,29.14023188
84,28.14466183
85,27.21125241
86,26.32792414
87,25.50799832
88,24.73619287
89,24.01511832
90,23.33086787
91,22.69832057
92,22.10461303
93,21.54876916
94,31.72565165
95,30.56849286
96,29.62530234
97,28.74588066
98,27.92142284
99,27.14855614
100,26.4136186
101,25.73492716
102,25.09865394
103,24.50214779
104,23.94361772
105,23.41860689
106,22.92716618
107,33.01212107
108,31.90782878
109,30.78858948
110,29.73917764
111,28.71916654
112,27.79340613
113,26.93131825
114,26.12298586
115,25.36529924
116,24.64740554
117,23.98194269
118,23.35800877
119,22.77313322
120,22.2247499
121,21.71070303
122,34.32315909
123,33.20637137
124,32.18513983
125,31.14067275
126,30.24848487
127,29.41212123
128,28.62790532
129,27.89282791
130,27.20369283
131,26.5575662
132,25.95188497
133,33.327788
134,32.29959986
135,31.46281931
136,30.67890699
137,29.9441142
138,29.254489
139,28.60872233
140,28.00325357
141,27.43499467
142,26.90288389
143,26.38609254
144,35.97544786
145,34.80122543
146,33.55657939
147,32.39054318
148,31.29662729
149,30.27183808
150,29.31034126
151,28.40900049
152,27.56468796
153,26.77238801
154,26.01261376
155,25.31731846
156,24.66617355
157,34.67523215
158,33.43928014
159,31.70204041
160,30.07331566
161,28.54651121
162,27.11506954
163,25.77315547
164,24.51511103
165,23.33563187
166,22.22993266
167,21.17090214
168,20.20043604
169,19.29062406
170,18.43773784
171,17.6380945
172,16.88849137
173,16.18567594
174,15.52684897
175,14.90983063
176,14.33074399
177,13.77047527
178,13.26253585
179,12.78640513
180,12.34003259
181,11.92149583
182,11.52918012
183,11.16132164
184,10.81651681
185,10.49319979
186,10.19015258
187,9.889670824
188,9.624281675
189,9.376236293
190,9.142936802
191,8.92428103
192,8.719228743
193,20.28906167
194,19.25565504
195,18.19939882
196,17.20903362
197,16.26687874
198,15.39735854
199,14.58148891
200,13.81736807
201,13.10094229
202,12.42935562
203,11.79898617
204,11.20877176
205,10.65538324
206,10.13664401
207,9.635194041
208,9.180154136
209,8.753616724
210,8.353675401
211,7.978035967
212,7.626630941
213,7.297126229
214,6.988278062
215,6.698670406
216,6.426531283
217,6.1564078
218,5.918792035
219,5.696089755
220,5.486611923
221,5.2908584
222,5.107401972
223,4.935349071
224,4.773417532
225,4.622238658
226,4.480570965
227,4.333007501
228,4.20859731
229,4.092782201
230,3.984205535
231,3.882352412
232,3.786927608
233,3.69670991
234,3.612887763
235,3.534242
236,3.460574097
237,3.378315994
238,3.314393467
239,3.254403597
240,3.198225595
241,3.144801773
242,3.095473884
243,3.049166489
244,3.005815805
245,2.964417595
246,2.926363718
247,2.880438208
248,2.847633042
249,2.816815699
250,2.787292496
251,2.760308937
252,2.734949351
253,2.711237238
254,2.688250189
255,2.667456774
256,2.647962948
257,2.616062486
258,2.599023858
259,2.583807089
260,2.569541369
261,2.556104755
262,2.542875986
263,2.531105959
264,2.520134059
265,2.509847902
266,2.500142131
267,2.480411025
268,2.472607558
269,2.465291808
270,2.458370792
271,2.451250396
272,2.445206968
273,2.439603755
274,2.434288242
275,2.428673005
276,2.424040664
277,2.407822845
278,14.5354242
279,13.79356435
280,13.11195963
281,12.47364966
282,11.87529655
283,11.31427802
284,10.78838564
285,10.29529904
286,9.833092849
287,9.399017602
288,8.972329002
289,8.592745939
290,8.236886818
291,7.903268892
292,7.590564586
293,7.297341799
294,7.022445437
295,6.764098153
296,6.522529518
297,6.296121423
298,6.072301334
299,5.873970001
300,5.688096876
301,5.513778321
302,5.349660232
303,5.196493967
304,5.052963094
305,4.918340401
306,4.792194126
307,4.673869493
308,4.55012765
309,4.446932172
310,4.349554466
311,4.258894812
312,4.173963886
313,4.094278644
314,4.019636228
315,3.949658964
316,3.883992779
317,3.82249323
318,3.750955459
319,3.697770743
320,3.647910071
321,3.601103192
322,3.557284242
323,3.516141477
324,3.477632635
325,3.441468095
326,3.406931895
327,3.375186151
328,3.332299517
329,3.305218297
330,3.279892153
331,3.256086394
332,3.233830994
333,3.212904057
334,3.192653109
335,3.17429979
336,3.157156053
337,3.1410213
338,3.117144968
339,3.103573408
340,3.09078757
341,3.078168902
342,3.066970846
343,3.056535168
344,3.04675172
345,3.037517238
346,3.02892241
347,15.06986476
348,14.36265793
349,13.54361681
350,12.97201576
351,12.43689672
352,11.93452818
353,11.46362017
354,11.02214391
355,10.60819741
356,10.22087952
357,9.857074548
358,9.515944888
359,9.186448333
360,8.887989757
361,8.607427897
362,8.344401153
363,8.097876081
364,7.866696326
365,7.65065975
366,7.447493516
367,7.256962671
368,7.078340004
369,6.905638198
370,6.749035811
371,6.602158573
372,6.462336162
373,6.334134596
374,6.200688684
375,6.088083141
376,5.982577945
377,5.883541823
378,5.791452404
379,5.704486629
380,5.622893714
381,5.546462857
382,5.475440873
383,5.408225818
384,5.338461705
385,5.279745348
386,5.224698764
387,5.173849536
388,5.12542144
389,5.0718951
390,5.029901656
391,4.981477247
392,16.59738492
393,16.02318031
394,16.61270376
395,17.022382
396,17.54939284
397,18.04283357
398,18.50600369
399,18.94028818
400,28.54336045
401,27.96703931
402,26.44316185
403,25.04033924
404,23.72531804
405,22.49242316
406,21.32970921
407,20.24653989
408,19.23113114
409,18.27912295
410,17.38067776
411,16.5443229
412,15.76024022
413,15.02522521
414,14.33058613
415,13.684862
416,13.07943312
417,12.51190605
418,11.97991192
419,11.48116743
420,11.00546947
421,10.56756512
422,10.1570298
423,9.772215441
424,9.411451976
425,9.073173727
426,8.748100369
427,8.451344096
428,8.17307259
429,7.912193053
430,7.667680987
431,7.438450926
432,7.223485243
433,7.012517415
434,6.824235077
435,6.647720384
436,6.48217536
437,6.3270394
438,6.181599438
439,6.036811973
440,5.909448725
441,5.790108179
442,5.678226418
443,5.573274767
444,5.474945094
445,5.373636026
446,5.287721274
447,5.207238694
448,5.131786276
449,5.054362134
450,16.8903395
451,16.07490856
452,15.28411566
453,14.54331677
454,13.8489428
455,13.19790471
456,12.587619
457,12.01541365
458,11.47903363
459,10.95404541
460,10.48400091
461,10.04327169
462,9.630088038
463,9.242728369
464,8.878946735
465,8.538533397
466,8.219458393
467,7.920325577
468,7.639826062
469,7.368420266
470,7.121782889
471,6.891192291
472,6.675076106
473,6.472404683
474,6.282462724
475,6.103697692
476,5.93673742
477,5.780212165
478,5.633532238
479,5.474457306
480,5.346824558
481,5.226536912
482,5.114461688
483,5.009328666
484,4.910828958
485,4.818422981
486,4.731854878
487,4.650002837
488,4.573898493
489,4.490238171
490,4.424119118
491,4.362195007
492,4.303446708
493,4.249002122
494,4.198022823
495,4.15016723
496,4.105365111
497,4.063300625
498,4.023233225
499,3.975051982
500,3.941194566
501,3.909453239
502,3.879633245
503,3.851045056
504,3.824875573
505,3.800404183
506,3.777399755
507,3.755895604
508,15.7093813
509,14.9420658
510,14.39006863
511,13.87250878
512,13.35292143
513,12.90024579
514,12.47661931
515,12.07871255
516,11.69629996
517,11.34722566
518,11.019906
519,10.71380076
520,10.42607016
521,10.15638522
522,9.897618087
523,9.661593345
524,9.439688205
525,9.231589637
526,9.036559729
527,8.853656691
528,8.670817036
529,8.510835416
530,8.360790147
531,8.220122707
532,8.088309482
533,7.965429029
534,7.849471659
535,7.740824125
536,7.638904561
537,7.532299415
538,7.443412646
539,7.3601438
540,7.282016757
541,18.92032127
542,18.22315535
543,17.82518037
544,17.44258576
545,17.09402832
546,16.76731821
547,16.46027055
548,16.1731078
549,15.90395523
550,15.6515622
551,15.40525623
552,15.18339994
553,14.97604161
554,14.78170567
555,14.59945323
556,14.42052907
557,14.26021823
558,27.29728792
559,26.29253382
560,25.29786156
561,24.25322438
562,23.38525203
563,22.57228489
564,21.80930875
565,21.09414362
566,20.42430825
567,19.79570565
568,19.20632822
569,18.65454381
570,18.13648899
571,17.6308751
572,17.17749401
573,16.75181731
574,16.35337733
575,15.97920792
576,15.62836159
577,24.12229732
578,23.26048707
579,22.4264983
580,21.65457827
581,20.93033379
582,20.25198654
583,19.61540405
584,19.01923991
585,18.45970408
586,17.93577119
587,17.42920215
588,16.96967563
589,16.53817507
590,16.13440024
591,15.75516689
592,15.40026757
593,15.06691751
594,14.75503378
595,14.45063584
596,14.17657526
597,25.1253032
598,24.14594397
599,23.13120442
600,22.13132358
601,21.24186586
602,20.40063119
603,19.61991118
604,18.88811118
605,18.20198618
606,17.55880648
607,16.95576302
608,16.38046533
609,15.8510682
610,15.35475838
611,14.88953042
612,14.45337922
613,14.04442496
614,13.66109284
615,13.29234399
616,12.95532249
617,12.63999678
618,12.34444142
619,12.06729578
620,11.80753424
621,11.55594529
622,22.75275427
623,21.82508907
624,20.94643767
625,20.07245892
626,19.30397885
627,18.58359129
628,17.90810294
629,17.27495762
630,16.68132138
631,16.1127874
632,15.59254375
633,15.10336393
634,14.64551479
635,14.21621873
636,13.81381617
637,13.43650127
638,13.08283105
639,12.75120272
640,12.44036366
641,12.13614649
642,11.8629915
643,11.60766564
644,11.36829765
645,11.14382766
646,10.92194954
647,10.72543881
648,22.00292527
649,21.13039522
650,20.35343302
651,19.58314901
652,18.9028897
653,18.26514659
654,17.66656798
655,17.10615749
656,16.5693907
657,16.07749128
658,15.61639807
659,15.18336625
660,14.77815586
661,14.39757667
662,14.04141563
663,13.69676465
664,13.38370992
665,13.09097805
666,12.81578498
667,12.55854842
668,12.31732664
669,12.09054928
670,11.87051495
671,23.33261471
672,22.38821518
673,21.42916701
674,20.4009274
675,19.56539027
676,18.78207422
677,18.04771541
678,17.35925403
679,16.71457843
680,16.10943811
681,15.54218156
682,15.01031605
683,14.51175463
684,14.0270408
685,13.59056603
686,13.18067648
687,12.79640504
688,12.43621306
689,12.09847057
690,11.7818995
691,11.48574605
692,11.20740776
693,10.94652811
694,10.68595343
695,10.45760218
696,10.24358538
697,10.04357657
698,9.855436365
699,9.678992426
700,20.68690957
701,19.87585966
702,19.00875732
703,18.30947388
704,17.65395815
705,17.03878021
706,16.46268284
707,15.92265405
708,15.41637706
709,14.94167988
710,14.49671378
711,14.07949556
712,13.66822847
713,13.30285308
714,12.96025115
715,12.63906184
716,12.33725242
717,12.05506304
718,11.79051049
719,11.54242997
720,11.30991698
721,11.09187356
722,10.87389535
723,10.68310328
724,10.50423572
725,21.6529571
726,20.77857783
727,19.96318755
728,19.09257861
729,18.38256328
730,17.71698641
731,17.09288309
732,16.50784873
733,15.95937902
734,15.44525116
735,14.96388824
736,14.51197856
737,14.07893823
738,13.68227543
739,13.31046655
740,12.96183322
741,12.63498948
742,12.32863597
743,12.0420615
744,11.77276599
745,11.52023895
746,11.27768235
747,11.05616053
748,10.84842133
749,10.65372833
750,10.45089809
751,21.68032113
752,20.79259967
753,19.93946497
754,19.13971368
755,18.39000936
756,17.6864046
757,17.02753209
758,16.40983912
759,15.83068945
760,15.28779914
761,14.75546447
762,14.27977572
763,13.83306057
764,13.41495956
765,13.02305237
766,12.65563937
767,12.31112719
768,11.98820952
769,11.6854117
770,11.4009068
771,11.1271904
772,10.87820628
773,10.64478367
774,10.42601247
775,10.22085196
776,10.02857649
777,9.847623796
778,9.678612587
779,21.14029652
780,20.27452105
781,19.47541904
782,18.6123234
783,17.91704624
784,17.26459197
785,16.65348552
786,16.08069823
787,15.54364765
788,15.04022523
789,14.56750976
790,14.12509596
791,13.71027051
792,13.30162166
793,12.93826336
794,12.59698302
795,12.27766463
796,11.97830365
797,11.69771523
798,11.43460108
799,11.18729962
800,10.95608645
801,10.73938661
802,10.5214805
803,10.33194352
804,10.15349566
805,9.98695774
806,21.18084233
807,20.37433829
808,19.6377477
809,18.83731903
810,18.19672964
811,17.5962396
812,17.03315518
813,16.50532603
814,16.01054871
815,15.54663247
816,15.1117735
817,14.70409321
818,14.30351794
819,13.94629113
820,13.61145349
821,13.2974807
822,13.00313121
823,12.72724107
824,12.46853155
825,12.22605389
826,11.99866858
827,11.78555734
828,11.57132807
829,22.65581451
830,21.74260388
831,20.84196197
832,19.99761018
833,19.20539843
834,18.46333186
835,17.76764446
836,17.11480557
837,16.50340105
838,15.93027182
839,15.37314372
840,14.87065557
841,14.39951043
842,13.95711742
843,13.54313091
844,13.15495606
845,12.79110464
846,12.44923699
847,12.12949301
848,11.82967053
849,11.53420501
850,11.27158803
851,11.02544711
852,10.79399556
853,10.57764167
854,10.3748724
855,10.18401926
856,23.32662223
857,22.32634723
858,21.38436025
859,20.39074051
860,19.56979145
861,18.80008921
862,18.07849335
863,17.40199724
864,16.76784463
865,16.17326407
866,15.61515034
867,15.09267567
868,14.60285566
869,14.1239619
870,13.69462401
871,13.29211973
872,12.91407752
873,12.5604199
874,12.22880338
875,11.91797539
876,11.62651165
877,11.35332689
878,11.09715369
879,10.84129686
880,10.61712553
881,10.4070274
882,10.20999791
883,10.02534527
884,19.53916396
885,18.77484816
886,18.06253126
887,17.39391472
888,16.76721172
889,16.17967766
890,15.62880197
891,15.11241851
892,14.62894097
893,14.17504882
894,13.72883744
895,13.33113926
896,12.95835973
897,12.60875391
898,12.2818179
899,11.97462095
900,11.68656131
901,11.41656789
902,11.16338657
903,10.92609157
904,10.68881502
905,10.48187519
906,10.28711216
907,10.10458431
908,9.93346446
909,9.772977098
910,9.622582696
911,21.02493517
912,20.14692533
913,19.29329805
914,18.37782803
915,17.63401239
916,16.93744217
917,16.28358815
918,15.670725
919,15.09679774
920,14.558109
921,14.0530258
922,13.58026724
923,13.13629915
924,12.70145406
925,12.31316874
926,11.9483943
927,11.60711272
928,11.28646678
929,10.98592372
930,10.7041021
931,10.44065127
932,10.19290918
933,9.960713466
934,9.72922443
935,9.525946514
936,9.335435968
937,9.157464276
938,8.98992137
939,8.832912395
940,8.686348426
941,8.54831276
942,19.9798696
943,19.00814859
944,18.00000041
945,17.0547365
946,16.08198908
947,15.25735781
948,14.48363406
949,13.75814304
950,13.07812021
951,12.44129326
952,11.84351104
953,11.28315271
954,10.75775428
955,10.26595019
956,9.784751915
957,9.353003531
958,8.948301921
959,8.569526107
960,8.213791836
961,7.880228458
962,7.568207235
963,7.275055394
964,7.000225543
965,6.742510057
966,6.486658734
967,6.261041174
968,6.049524712
969,5.851290529
970,5.666077926
971,5.491809167
972,5.328369705
973,5.17520771
974,5.032250283
975,4.897595752
976,4.761607128
977,4.643805294
978,4.534060519
979,4.430542847
980,4.333495031
981,4.242450202
982,4.15785262
983,4.077785443
984,4.002784963
985,3.932409514
986,3.851439475
987,3.790523119
988,3.733476535
989,3.680689807
990,3.630445306
991,3.583403585
992,3.539239472
993,3.498530061
994,3.459733043
995,3.423298339
996,3.383140804
997,3.352187559
998,3.322536948
999,3.294677
1000,3.268620798
1001,3.244887554
1002,3.221880693
1003,3.200374261
1004,3.180149481
1005,3.161945694
1006,3.125060199
1007,3.109542548
1008,3.095057249
1009,3.082171727
1010,3.069334605
1011,15.02664008
1012,14.34782924
1013,14.19275658
1014,13.95843846
1015,13.82694578
1016,13.70442834
1017,13.58950573
1018,13.48182829
1019,13.38081819
1020,13.28542677
1021,13.19675427
1022,13.11362379
1023,13.03562647
1024,12.93150398
1025,12.86419471
1026,12.8018492
1027,12.7434003
1028,23.61095861
1029,22.83944036
1030,22.0237184
1031,21.25897905
1032,20.54273036
1033,19.87061527
1034,19.24044487
1035,18.64972262
1036,18.09585801
1037,17.57667244
1038,17.02799847
1039,16.57549162
1040,16.1519609
1041,15.7542064
1042,15.38137405
1043,15.03178123
1044,14.70410046
1045,14.39683723
1046,14.10884046
1047,13.83878099
1048,13.52372523
1049,24.39111741
1050,23.4374434
1051,22.53718652
1052,21.6930707
1053,20.90183711
1054,20.15999313
1055,19.46457689
1056,18.81256167
1057,18.2013599
1058,17.61892074
1059,17.08156458
1060,16.57855013
1061,16.10691158
1062,15.66475044
1063,15.25022437
1064,14.86166868
1065,14.49733522
1066,14.1151476
1067,13.79740921
1068,13.49896002
1069,13.21973335
1070,12.95808335
1071,24.03161981
1072,23.08166441
1073,22.1862826
1074,21.34604272
1075,20.54888727
1076,19.81110959
1077,19.12007497
1078,18.47153556
1079,17.86422431
1080,17.29423807
1081,16.76050791
1082,16.25944144
1083,15.75057358
1084,15.312628
1085,14.90281098
1086,14.51785057
1087,14.15770713
1088,13.81931571
1089,13.5028307
1090,13.20536906
1091,12.92725572
1092,12.66576751
1093,12.35962927
1094,23.41593716
1095,22.50515636
1096,21.65199381
1097,20.85284837
1098,20.10295507
1099,19.40068704
1100,18.74155382
1101,18.06149838
1102,17.48600195
1103,16.94723099
1104,16.44150128
1105,15.96794912
1106,15.52336202
1107,15.10725606
1108,14.71646228
1109,14.35072505
1110,14.00721446
1111,13.62499272
1112,13.3267779
1113,13.047264
1114,12.78591417
1115,12.54020426
1116,23.61827482
1117,22.69074376
1118,21.80931533
1119,20.98297618
1120,20.20828322
1121,19.48207107
1122,18.80124719
1123,18.16291229
1124,17.56453583
1125,16.9934954
1126,16.46814499
1127,15.97562898
1128,15.51395773
1129,15.08107843
1130,14.67525408
1131,14.29479376
1132,13.9381122
1133,13.60378574
1134,13.21672969
1135,12.92742714
1136,12.656206
1137,12.40187368
1138,12.16349963
1139,23.23103785
1140,22.31653548
1141,21.46827979
1142,20.56723453
