,amp,decay,period,src
0,2.4884580274227304,0.08272701232942846,39,B
1,219.614446760119,0.15516466772768556,45,B
2,83.68653217368056,0.15321226028103682,39,B
3,72.51021531843992,0.14487256724471717,46,B
4,211.47181848822123,0.15749792117655356,39,B
5,218.81898414294858,0.15567149798415506,46,B
6,61.0898573094901,0.14655049791793984,39,B
7,49.4769826993274,0.14663927681063724,46,B
8,45.47161945522197,0.1504046543067151,39,B
9,42.34309389757196,0.14663720757612245,46,B
10,188.666644882018,0.1587012966948424,39,B
11,198.08802729874475,0.15601157446681546,37,B
12,20.373362012504078,0.12904672087880867,9,B
13,118.81796741014641,0.13715151874935366,39,B
14,106.54500498614141,0.15739721600912351,46,B
15,168.06196734654435,0.15959973963497004,39,B
16,174.0173073298795,0.1539387890706456,46,B
17,137.90180377082726,0.14976153908882184,39,B
18,131.0129104889943,0.15562940664931307,46,B
19,142.92211387147364,0.14654246897431203,39,B
20,138.76937650454607,0.1558969154195097,46,B
21,85.92711643034761,0.1397431882259599,39,B
22,77.25354216635118,0.14666689025272492,46,B
23,67.92993371980761,0.1469826521789414,39,B
24,63.60867127138977,0.14830978962361854,27,B
25,13.19794344366162,0.18432817421519662,19,B
26,129.98649241576416,0.24850680703922687,39,B
27,131.90273681407461,0.24600985798778802,46,B
28,181.72699989270265,0.25679836199763306,39,B
29,187.3789066940475,0.24949926047925117,46,B
30,120.41328086192611,0.24962677956965518,39,B
31,115.45793184389889,0.2447524381908462,46,B
32,201.02837064666795,0.25084978875698893,39,B
33,206.1035715904328,0.24973969048145048,46,B
34,110.46701758035995,0.24628494594392158,39,B
35,102.74912858999197,0.23620535471730558,111,B
36,102.2222279547565,0.24686736835427203,39,B
37,105.35591964724074,0.23866959575024171,46,B
38,93.13585837925228,0.24503290415807524,39,B
39,89.77724145405595,0.24273275298542835,46,B
40,103.35135299121039,0.24969608167368232,39,B
41,102.39283618479557,0.24050137427732982,46,B
42,211.45537142678918,0.25189443655013155,36,B
43,1.8098438777387998e-17,0.9999999412149057,136,B
44,45.331376938230356,0.21990235832826052,39,B
45,47.0010728471848,0.19933489733042448,46,B
46,239.63835537117507,0.21985556234190265,39,B
47,250.90275375781064,0.2185128144671133,46,B
48,52.926265066407325,0.18850288987066227,39,B
49,36.56996599903539,0.18778386765386376,46,B
50,155.3365566535101,0.2158384291805218,39,B
51,159.98470838640276,0.21663323283134833,46,B
52,106.77078523345484,0.2120488505602107,39,B
53,100.29351194500927,0.20549758812629157,77,B
54,31.56177655731669,0.2044768955582953,39,B
55,29.402708722243517,0.2007567806824235,46,B
56,273.9380429322182,0.22377353448402193,21,B
