,amp,decay,period,src
0,2.02079012775972,0.29844335986254117,14,A
1,18.65734993058957,0.022790612073490188,13,A
2,28.486320901965996,0.0640440701471922,13,A
3,29.601496693741336,0.05686455072814063,12,A
4,32.9086556709871,0.0692598202009314,13,A
5,33.580085536045466,0.07646351753657815,13,A
6,33.40027054460561,0.08149421866992809,15,A
7,31.32074055722029,0.06772303090638024,13,A
8,32.65543226731911,0.07615236843438568,15,A
9,34.06351940148986,0.07031605332378846,11,A
10,33.03014267081734,0.0580601827040582,11,A
11,35.74794568320067,0.07979724033969393,13,A
12,33.74775577302204,0.10832175733382844,36,A
13,18.109204177135062,0.09639390564612833,85,A
14,12.60381184319026,0.07408521439808487,69,A
15,13.627405381390433,0.069668680787656,45,A
16,16.03188741352464,0.057845205682394894,8,A
17,27.546652807055224,0.10560799913337146,50,A
18,15.479209142559734,0.08585734899212652,51,A
19,3.9055527276950586,0.016670910331910135,7,A
20,14.701035745938022,0.06289114218885808,33,A
21,18.44510771779549,0.04309263021513138,17,A
22,26.75878639977813,0.07936553647067231,19,A
23,23.599583159669244,0.07161362060240534,20,A
24,24.396825683927144,0.08450350861754449,25,A
25,21.94996476011979,0.07842638765276254,26,A
26,21.32279585513089,0.07216442781538204,23,A
27,22.389213337916523,0.08312798226230808,29,A
28,19.926287191944137,0.07302124430037855,25,A
29,20.83609111943554,0.07567575663331733,26,A
30,20.853417964842635,0.0786200314359549,28,A
31,20.28168395440473,0.07526912070548254,27,A
32,20.504678668356874,0.0706144499072657,23,A
33,21.874440294827988,0.08076246256328706,27,A
34,22.383300451462976,0.08222024132562514,28,A
35,18.79854907132784,0.07116177488793904,27,A
36,20.028073794721795,0.07978369317466841,31,A
37,18.35954353814772,0.09821506155663898,59,A
38,3.2408432286896756,0.01602687940351644,10,A
39,14.471716319775306,0.02199572517663689,17,A
40,23.12808556771057,0.0715446934984896,21,A
41,23.775983653867723,0.07759703079658382,22,A
42,23.371825969518305,0.07774847480468347,23,A
43,22.818841207722258,0.0766870950397078,22,A
44,22.985822896400855,0.07789917365757008,23,A
45,22.515597620940216,0.07547401420200575,23,A
46,22.64098759595784,0.07574723133491196,24,A
47,24.216945761937485,0.0747337255867215,20,A
48,22.924533368824356,0.06951503981068571,19,A
49,24.61821373694682,0.07336906652062129,20,A
50,24.816457774140815,0.0793018444106424,22,A
51,23.777497463770917,0.07784428991553828,22,A
52,23.746009434472022,0.06908843808623553,18,A
53,25.371712239402004,0.07484851093942813,19,A
54,25.78161611694975,0.07822234993155604,21,A
55,24.1395648656159,0.08350767280937563,25,A
56,22.083756874553362,0.07222685660786742,22,A
57,23.225607242819812,0.06596991356021828,18,A
58,25.645876503047493,0.07297956849263493,18,A
59,28.037947295265226,0.08683875197549844,21,A
60,22.7765517428113,0.08006394311116462,26,A
61,21.553790281638655,0.08467912994848013,24,A
62,10.275791163839166,0.04653707482964843,4,A
63,20.518220762917387,0.05771663956163207,19,A
64,24.4061064072541,0.07062627492372839,18,A
65,25.970324313945163,0.07888834143217582,20,A
66,24.584867627393738,0.07736636693724798,21,A
