,amp,decay,period,src
0,3.2837201185771305,0.06656663773139034,39,C
1,649.3780179592835,0.15871077548747292,23,C
2,383.56104239517623,0.15156057661166902,39,C
3,250.79438507544933,0.14924773206606828,46,C
4,426.9726467098097,0.1532166171265772,39,C
5,93.90930035370073,0.11931442945006616,37,C
6,434.1028108956353,0.15134763812974542,78,C
7,392.93449579391944,0.15354261821329987,39,C
8,114.82074629729271,0.13367780377009048,39,C
9,444.38131179007746,0.15572427118152274,46,C
10,551.6566460196458,0.15267017665687677,39,C
11,554.3549188386612,0.15773839276607612,36,C
12,60.32424908497952,0.3110664250474309,3,C
13,209.31244302395928,0.2579215206550552,39,C
14,148.27239243625323,0.26417574345157824,46,C
15,347.763104943294,0.2894546011663408,39,C
16,343.2943658954482,0.3170288478635005,5,C
17,335.32642636240774,0.28917974323984114,38,C
18,159.29938587237777,0.23089339681489546,39,C
19,151.61312630631755,0.2652807426569207,39,C
20,178.36834949767515,0.3073649796834868,7,C
21,271.70609244728695,0.3063963085236779,39,C
22,325.0372772030052,0.3045450458109781,39,C
23,437.0306284558799,0.3018029197509439,38,C
24,425.4003885015173,0.30586237420141693,132,C
25,26.846838215794293,0.07548453421685324,72,C
26,260.4837172292734,0.30671830518642956,38,C
27,264.67895726278203,0.2988943811643408,78,C
28,297.54430542467475,0.30366871767539816,39,C
29,305.1806639265919,0.3116161252394079,20,C
30,356.90534787012604,0.28156226013805674,38,C
31,1.426765531196942e-13,0.9999393617182029,160,C
32,283.11629869073346,0.2903455788398167,39,C
33,88.3002089701732,0.28124329718801067,13,C
34,42.182773824852255,0.11342809702353111,26,C
35,304.5671534907963,60.87394004344895,7,C
36,350.4088652443299,0.13940869450305884,46,C
37,147.938407130291,0.1536830105768956,39,C
38,421.6243261595629,0.14783188735487837,39,C
39,110.72141492804093,0.11718889472030228,39,C
40,297.9566347253188,59.54394246877602,7,C
41,506.6526076581186,0.14600475072492977,78,C
42,332.18308547848255,66.50384116216618,7,C
43,425.5629729696462,0.15270633133695505,39,C
44,235.48035371954677,0.15347149500967922,32,C
45,423.3012429262343,0.15648254960336036,14,C
46,554.8582281416353,0.15525710212182497,35,C
47,159.70269618933247,0.13989107644048518,39,C
48,95.46292420282838,0.1456716017883845,46,C
49,136.4657809438473,0.14628499857372826,7,C
50,88.72758346554299,0.07563250286568567,32,C
51,294.4046842630934,0.08874874327978086,39,C
52,393.751957157218,0.08084671356937796,46,C
53,167.39908066849833,0.08276647545639029,39,C
54,157.59908252488293,0.09375821737034372,7,C
55,409.9129075662012,0.09117111689754032,39,C
56,159.26417650377016,0.0835160767924275,39,C
57,410.50577746305925,0.09554414479572565,7,C
58,526.997538430773,0.09270231330538241,39,C
59,268.7065898847247,0.09099760819319606,13,C
60,120.61028122477164,0.15981908101989237,26,C
61,467.6369943662676,0.1893030642022595,7,C
62,402.5314665521142,0.18395157426733455,39,C
63,120.8621614100701,0.1494112947278293,46,C
64,505.1884903419744,0.18406735602145177,39,C
65,520.4014729594753,0.18855486175872027,42,C
66,3.683954680350128e-14,0.9999982205898971,101,C
